Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.1,62.4,175876,168592,7284,4.1
1976,Feb,64.8,62.1,175705,168416,7289,4.1
1976,Mar,64.6,61.9,175782,168487,7295,4.2
1976,Apr,64.7,62,176667,169387,7280,4.1
1976,May,64.9,62.3,177909,170664,7245,4.1
1976,Jun,65.2,62.6,179296,172109,7187,4
1976,Jul,65.4,62.9,180577,173470,7107,3.9
1976,Aug,65.6,63.1,181678,174649,7029,3.9
1976,Sep,65.7,63.2,182760,175766,6994,3.8
1976,Oct,65.9,63.4,183877,176869,7008,3.8
1976,Nov,66.1,63.6,185035,177991,7044,3.8
1976,Dec,66.3,63.8,186250,179158,7092,3.8
1977,Jan,66.5,64,187531,180397,7134,3.8
1977,Feb,66.5,64,188846,181712,7134,3.8
1977,Mar,66.7,64.2,190150,183087,7063,3.7
1977,Apr,66.9,64.5,191462,184548,6914,3.6
1977,May,67.2,64.8,192822,186101,6721,3.5
1977,Jun,67.4,65.2,194210,187678,6532,3.4
1977,Jul,67.7,65.5,195591,189199,6392,3.3
1977,Aug,67.9,65.7,196919,190620,6299,3.2
1977,Sep,67.9,65.7,198168,191935,6233,3.1
1977,Oct,68.1,65.9,199389,193189,6200,3.1
1977,Nov,68.2,66.1,200623,194454,6169,3.1
