Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.2,60.2,1292816,1195062,97754,7.6
1976,Feb,65,60.1,1292440,1194788,97652,7.6
1976,Mar,64.8,60,1291686,1195034,96652,7.5
1976,Apr,64.7,60,1291005,1196768,94237,7.3
1976,May,64.5,59.9,1291116,1199126,91990,7.1
1976,Jun,64.5,59.9,1292328,1201890,90438,7
1976,Jul,64.4,59.9,1294202,1204370,89832,6.9
1976,Aug,64.4,59.9,1296450,1206523,89927,6.9
1976,Sep,64.4,59.9,1298645,1208467,90178,6.9
1976,Oct,64.3,59.8,1300986,1210147,90839,7
1976,Nov,64.3,59.8,1303828,1211696,92132,7.1
1976,Dec,64.3,59.7,1307111,1213389,93722,7.2
1977,Jan,64.4,59.7,1310962,1215633,95329,7.3
1977,Feb,64.4,59.7,1315111,1218664,96447,7.3
1977,Mar,64.5,59.8,1318733,1222378,96355,7.3
1977,Apr,64.5,59.8,1321586,1226576,95010,7.2
1977,May,64.5,59.9,1323803,1230885,92918,7
1977,Jun,64.4,60,1325795,1234941,90854,6.9
1977,Jul,64.4,60,1327937,1238518,89419,6.7
1977,Aug,64.3,60,1330448,1241696,88752,6.7
1977,Sep,64.3,60,1332985,1244768,88217,6.6
1977,Oct,64.3,60.1,1335057,1248001,87056,6.5
1977,Nov,64.2,60.1,1336592,1251458,85134,6.4
1977,Dec,64.1,60.1,1337785,1255000,82785,6.2
1978,Jan,64,60.2,1338891,1258518,80373,6
1978,Feb,63.9,60.2,1340562,1261946,78616,5.9
1978,Mar,63.9,60.2,1343444,1265318,78126,5.8
1978,Apr,64,60.2,1347196,1268527,78669,5.8
1978,May,64,60.2,1351256,1271638,79618,5.9
1978,Jun,64,60.2,1354890,1274843,80047,5.9
1978,Jul,64,60.3,1357614,1278122,79492,5.9
1978,Aug,64,60.3,1359587,1281326,78261,5.8
1978,Sep,63.9,60.3,1360966,1284263,76703,5.6
1978,Oct,63.9,60.3,1362041,1286867,75174,5.5
1978,Nov,63.8,60.3,1363127,1289146,73981,5.4
1978,Dec,63.7,60.3,1364408,1291073,73335,5.4
1979,Jan,63.6,60.2,1365685,1292726,72959,5.3
1979,Feb,63.6,60.2,1366387,1294377,72010,5.3
1979,Mar,63.4,60.2,1366301,1296202,70099,5.1
1979,Apr,63.3,60.2,1366008,1298259,67749,5
1979,May,63.2,60.1,1366141,1300436,65705,4.8
1979,Jun,63.1,60.1,1367106,1302405,64701,4.7
1979,Jul,63.1,60.1,1368994,1304126,64868,4.7
1979,Aug,63,60,1371645,1305632,66013,4.8
1979,Sep,63.1,60,1375073,1307008,68065,4.9
1979,Oct,63.1,59.9,1378811,1308388,70423,5.1
1979,Nov,63.1,59.8,1382133,1309807,72326,5.2
1979,Dec,63.1,59.8,1384755,1311202,73553,5.3
1980,Jan,63.1,59.7,1386955,1312179,74776,5.4
1980,Feb,63.1,59.6,1389421,1312122,77299,5.6
1980,Mar,63.1,59.4,1392677,1310880,81797,5.9
1980,Apr,63.1,59.2,1396536,1308866,87670,6.3
1980,May,63.2,59,1400747,1306737,94010,6.7
1980,Jun,63.3,58.8,1405080,1305250,99830,7.1
1980,Jul,63.4,58.7,1408953,1304891,104062,7.4
1980,Aug,63.4,58.6,1411821,1305901,105920,7.5
