Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2019,Jan,62.6,60.4,484902,467818,17084,3.5
2019,Feb,62.6,60.4,485355,468169,17186,3.5
2019,Mar,62.6,60.4,485708,468349,17359,3.6
2019,Apr,62.6,60.3,486041,468449,17592,3.6
2019,May,62.6,60.3,486431,468549,17882,3.7
2019,Jun,62.6,60.3,486936,468707,18229,3.7
2019,Jul,62.6,60.2,487583,468959,18624,3.8
2019,Aug,62.6,60.2,488173,469178,18995,3.9
2019,Sep,62.6,60.2,488694,469406,19288,3.9
2019,Oct,62.6,60.1,488997,469532,19465,4
2019,Nov,62.5,60,488945,469497,19448,4
2019,Dec,62.5,60,488861,469461,19400,4
2020,Jan,62.4,59.9,488917,469519,19398,4
2020,Feb,62.4,60,489276,470043,19233,3.9
2020,Mar,60.8,57.8,477377,453613,23764,5
2020,Apr,59,50.2,463508,394223,69285,14.9
2020,May,60.1,50.6,472672,397743,74929,15.9
2020,Jun,61.9,54.1,486725,425185,61540,12.6
2020,Jul,64.2,57.5,505590,452611,52979,10.5
2020,Aug,63.5,57.9,500871,456153,44718,8.9
2020,Sep,62.8,57.7,495306,454912,40394,8.2
